DAMAN

3-344272365184  ACTIVATION|IN105844251|U31_ONU_DONT_EXIST:ONU does not exist.. Rollback Succeeded.  fu woc  MADIUN
3-342471335120  ACTIVATION|IN104331497|U31_ONU_DONT_EXIST:ONU does not exist.. Rollbac  fu woc  MADURA
3-342250286299  ACTIVATION|IN104072742|U31_ONU_DONT_EXIST:ONU does not exist.. Rollback Succeeded  fu woc  MALANG
3-342270505511  ACTIVATION|IN104087293|SARM_MSG:Cannot Find Mandatory Parameter 'ONT_ID', ASDL 'A_ALU-AMS_MOD_HSI_OPEN' Fails. Rollback Succeeded.  fu woc  MALANG
3-342463210193  ACTIVATION|IN104245443|FAIL:DDOF. Rollback Succeeded.  fu woc  MALANG
3-342482341330  ACTIVATION|IN104267260|FAIL:"device operation failed" EADD=" SNMP operation failed or returned an error ". Rollback Succeeded.  fu woc  MALANG
3-342481931785  ACTIVATION|IN104323218|FAIL:"device operation failed" EADD=" SNMP operation failed or returned an error ". Rollback Succeeded.  fu woc  MALANG
3-342479441518  ACTIVATION|IN104330986|FAIL:"device operation failed" EADD=" SNMP operation failed or returned an error ". Rollback Succeeded.  fu woc  MALANG
3-342478693691  ACTIVATION|IN104331536|FAIL:"device operation failed" EADD=" SNMP operation failed or returned an error ". Rollback Succeeded.  fu woc  MALANG
3-342479393859  ACTIVATION|IN104269856  fu woc  PASURUAN
3-342468256275  ACTIVATION|IN104272205  fu woc  PASURUAN
3-343960565596  ACTIVATION|IN105507665|FAIL:IRNE. Rollback Succeeded.  fu woc  PASURUAN
3-343976050038  ACTIVATION|IN105513980|FAIL:IRNE. Rollback Succeeded.  fu woc  PASURUAN
3-344119532438  ACTIVATION|IN105681386  fu woc  PASURUAN
3-344230910122  ACTIVATION|IN105802938|FAIL:IRNE. Rollback Succeeded.  fu woc  PASURUAN
3-344145048834  ACTIVATION|IN105967609|FAIL:"EMS operation failed" EADD="Data not found, failed to get ON  fu woc  PASURUAN
3-344121317787  ACTIVATION|IN106580191  fu woc  PASURUAN
3-344118004998  ACTIVATION|IN106581272  fu woc  PASURUAN
3-342481973983  ACTIVATION|IN104267673|FAIL:"device operation failed" EADD=" SNMP operation failed or returned an error ". Rollback Succeeded  fu woc  SIDOARJO
3-344243083906  ACTIVATION|IN105823674  fu woc  SIDOARJO
3-344270485595  ACTIVATION|IN105843265  fu woc  SIDOARJO
3-342478932392  ACTIVATION|IN104330959|FAIL:errorDescription-The ServicePackage has already be  fu woc  SINGARAJA
3-342246884990  ACTIVATION|IN104071508|U31_ONU_DONT_EXIST:ONU does not exist.. Rollback Succeeded.  fu woc  SURABAYA SELATAN
3-342293013220  ACTIVATION|IN104105111  fu woc  SURABAYA SELATAN
3-342482496173  ACTIVATION|IN104267277|U31_ONU_DONT_EXIST:ONU does not exist.. Rollback Succeeded  fu woc  SURABAYA SELATAN
3-344247505867  ACTIVATION|IN105828107|U31_ONU_DONT_EXIST:ONU does not exist.. Rollback Succeeded  fu woc  SURABAYA SELATAN

...3-342461710304  ACTIVATION|IN104244916|FAIL:"EMS exception happens" EADD="MOD-SERVICE required, please check service.xml or parameters"  fu woc  SURABAYA UTARA
3-342484357788  ACTIVATION|IN104268330  fu woc  SURABAYA UTARA
3-342481011436  ACTIVATION|IN104330955|  fu woc  SURABAYA UTARA
3-344265590369  ACTIVATION|IN105839840|U31_ONU_DONT_EXIST:ONU does not exist.. Rollback Succeeded.  fu woc  SURABAYA UTARA
